"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DCN",0,5.25044357689292,0.998,0.422,0,"0","DCN"
"CFD",0,5.20091354083056,0.895,0.349,0,"0","CFD"
"COL1A1",0,5.16472976665136,0.993,0.572,0,"0","COL1A1"
"COL1A2",0,4.84028756540162,0.995,0.539,0,"0","COL1A2"
"COL3A1",0,4.6557312057222,0.963,0.484,0,"0","COL3A1"
"PTGDS",0,4.6105408038412,0.687,0.173,0,"0","PTGDS"
"SFRP2",0,4.20854160239919,0.842,0.16,0,"0","SFRP2"
"CXCL14",0,4.13344977109347,0.928,0.407,0,"0","CXCL14"
"APOD",0,3.90448111022333,0.793,0.214,0,"0","APOD"
"CCDC80",0,3.89243639795569,0.986,0.332,0,"0","CCDC80"
"FBLN1",0,3.79839067501729,0.939,0.169,0,"0","FBLN1"
"LUM",0,3.75291782170114,0.941,0.206,0,"0","LUM"
"CTSK",0,3.17507197005259,0.944,0.163,0,"0","CTSK"
"WISP2",0,3.13355738503563,0.612,0.05,0,"0","WISP2"
"COL6A2",0,3.01237231487626,0.997,0.45,0,"0","COL6A2"
"SERPINF1",0,2.96148908663162,0.961,0.302,0,"0","SERPINF1"
"COL6A1",0,2.92584406860385,0.983,0.385,0,"0","COL6A1"
"MMP2",0,2.84115225369539,0.861,0.202,0,"0","MMP2"
"PCOLCE",0,2.81609422371309,0.964,0.278,0,"0","PCOLCE"
"C1R",0,2.81221765036112,0.953,0.29,0,"0","C1R"
"CTHRC1",0,2.75750655165354,0.66,0.318,0,"0","CTHRC1"
"POSTN",0,2.68574572356229,0.406,0.273,0,"0","POSTN"
"SPARC",0,2.65649691438084,0.971,0.75,0,"0","SPARC"
"COL6A3",0,2.59375070763173,0.9,0.205,0,"0","COL6A3"
"C1S",0,2.56900271930494,0.951,0.217,0,"0","C1S"
"MFAP4",0,2.55522622447149,0.864,0.086,0,"0","MFAP4"
"DPT",0,2.55075011344166,0.76,0.035,0,"0","DPT"
"C3",0,2.46903627313056,0.548,0.028,0,"0","C3"
"ASPN",0,2.42134719807469,0.4,0.09,0,"0","ASPN"
"CXCL12",0,2.40415616173646,0.831,0.28,0,"0","CXCL12"
"MGP",0,2.39622898667209,0.94,0.623,0,"0","MGP"
"MEG3",0,2.37977476888839,0.884,0.097,0,"0","MEG3"
"COMP",0,2.33062635637341,0.304,0.035,0,"0","COMP"
"PLAC9",0,2.31693361316032,0.952,0.342,0,"0","PLAC9"
"COL5A2",0,2.3115983553687,0.76,0.153,0,"0","COL5A2"
"GSN",0,2.26596568419528,0.975,0.769,0,"0","GSN"
"HTRA1",0,2.24430510988205,0.869,0.347,0,"0","HTRA1"
"CFH",0,2.22095062273232,0.899,0.345,0,"0","CFH"
"VCAN",0,2.18395908373267,0.828,0.118,0,"0","VCAN"
"THY1",0,2.17135449099287,0.895,0.191,0,"0","THY1"
"MFAP5",0,2.17117799005403,0.56,0.016,0,"0","MFAP5"
"PTN",0,2.17086638266067,0.716,0.108,0,"0","PTN"
"TIMP1",0,2.13738338121706,0.99,0.734,0,"0","TIMP1"
"APOE",0,2.127827396242,0.711,0.583,0,"0","APOE"
"AEBP1",0,2.10717994983972,0.849,0.192,0,"0","AEBP1"
"PI16",0,2.10041317982617,0.417,0.016,0,"0","PI16"
"LRP1",0,2.08470156420817,0.898,0.089,0,"0","LRP1"
"COL5A1",0,2.07761618053222,0.684,0.084,0,"0","COL5A1"
"THBS2",0,2.04841051422662,0.708,0.058,0,"0","THBS2"
"IGFBP6",0,1.99016727333262,0.636,0.088,0,"0","IGFBP6"
"RARRES2",0,1.95406488751902,0.809,0.188,0,"0","RARRES2"
"PDGFRL",0,1.9481247764201,0.684,0.033,0,"0","PDGFRL"
"FN1",0,1.90495236659185,0.759,0.281,0,"0","FN1"
"CST3",0,1.89716793554973,0.997,0.865,0,"0","CST3"
"FSTL1",0,1.88579868293127,0.917,0.432,0,"0","FSTL1"
"TNFAIP6",0,1.87912717478513,0.558,0.055,0,"0","TNFAIP6"
"SPON2",0,1.87277765545047,0.604,0.063,0,"0","SPON2"
"LGALS1",0,1.86492170786437,0.998,0.69,0,"0","LGALS1"
"MXRA8",0,1.82689040915474,0.853,0.084,0,"0","MXRA8"
"LOX",0,1.80930695704166,0.68,0.049,0,"0","LOX"
"FBLN2",0,1.80754078168494,0.866,0.226,0,"0","FBLN2"
"PPIC",0,1.80202591705464,0.81,0.358,0,"0","PPIC"
"EFEMP1",0,1.78482814224906,0.623,0.068,0,"0","EFEMP1"
"SFRP4",0,1.77429182020551,0.289,0.032,0,"0","SFRP4"
"FBN1",0,1.75935522901821,0.758,0.186,0,"0","FBN1"
"OLFML3",0,1.75395481306225,0.746,0.042,0,"0","OLFML3"
"ELN",0,1.72205180847878,0.535,0.11,0,"0","ELN"
"RCN3",0,1.71919213266809,0.731,0.078,0,"0","RCN3"
"SOD3",0,1.69884313029768,0.791,0.213,0,"0","SOD3"
"TMEM176B",0,1.6953066167144,0.786,0.117,0,"0","TMEM176B"
"IGFBP5",0,1.69137709388463,0.75,0.256,0,"0","IGFBP5"
"TIMP2",0,1.64247552180404,0.958,0.52,0,"0","TIMP2"
"CLEC11A",0,1.64239256555738,0.78,0.116,0,"0","CLEC11A"
"OGN",0,1.63768031998416,0.542,0.013,0,"0","OGN"
"SERPING1",0,1.62776947132444,0.922,0.449,0,"0","SERPING1"
"COL14A1",0,1.60900747220939,0.637,0.134,0,"0","COL14A1"
"CRABP2",0,1.59047851320985,0.772,0.152,0,"0","CRABP2"
"COL12A1",0,1.58692906014243,0.593,0.105,0,"0","COL12A1"
"PLTP",0,1.58213491821902,0.747,0.139,0,"0","PLTP"
"SELENOP",0,1.56646795087535,0.841,0.521,0,"0","SELENOP"
"MDK",0,1.55044355183989,0.671,0.31,0,"0","MDK"
"BGN",0,1.4822783767179,0.602,0.239,0,"0","BGN"
"SFRP1",0,1.46202535017691,0.437,0.041,0,"0","SFRP1"
"CERCAM",0,1.45736778314794,0.592,0.054,0,"0","CERCAM"
"TWIST1",0,1.44764034342612,0.858,0.197,0,"0","TWIST1"
"COPZ2",0,1.43903104863987,0.725,0.213,0,"0","COPZ2"
"MMP23B",0,1.43799872300141,0.569,0.018,0,"0","MMP23B"
"MRC2",0,1.43793925316962,0.675,0.037,0,"0","MRC2"
"ECM1",0,1.4369136563487,0.693,0.07,0,"0","ECM1"
"PODN",0,1.39850842302193,0.655,0.039,0,"0","PODN"
"CYBRD1",0,1.39092950353154,0.752,0.177,0,"0","CYBRD1"
"MXRA5",0,1.38786438429458,0.633,0.037,0,"0","MXRA5"
"CD63",0,1.37571183044648,1,0.91,0,"0","CD63"
"NBL1",0,1.36851384490585,0.724,0.368,0,"0","NBL1"
"EFEMP2",0,1.34965446550982,0.72,0.089,0,"0","EFEMP2"
"PPIB",0,1.30841004828941,0.966,0.825,0,"0","PPIB"
"PRRX1",0,1.28870666578666,0.893,0.235,0,"0","PRRX1"
"CD248",0,1.26358703881885,0.646,0.046,0,"0","CD248"
"PLPP3",0,1.26052424960129,0.754,0.331,0,"0","PLPP3"
"SELENOM",0,1.25599323864443,0.975,0.642,0,"0","SELENOM"
"SLIT3",0,1.25308174255908,0.684,0.108,0,"0","SLIT3"
"FKBP10",0,1.24854877900337,0.674,0.139,0,"0","FKBP10"
"GEM",0,1.24377486289139,0.772,0.349,0,"0","GEM"
"ANGPTL1",0,1.24157447674517,0.514,0.024,0,"0","ANGPTL1"
"S100A4",0,1.23812478311882,0.986,0.54,0,"0","S100A4"
"ADH1B",0,1.22884478464382,0.354,0.013,0,"0","ADH1B"
"TMEM176A",0,1.22153274016738,0.667,0.1,0,"0","TMEM176A"
"PSAP",0,1.21028531324847,0.95,0.629,0,"0","PSAP"
"CXCL1",0,1.20645162543906,0.283,0.06,0,"0","CXCL1"
"GAS6",0,1.20459854360069,0.715,0.299,0,"0","GAS6"
"PRDX4",0,1.2032083861021,0.752,0.437,0,"0","PRDX4"
"CD99",0,1.19743016539597,0.989,0.837,0,"0","CD99"
"ISLR",0,1.18701631448995,0.596,0.027,0,"0","ISLR"
"CPXM1",0,1.18376531636611,0.555,0.053,0,"0","CPXM1"
"ITGBL1",0,1.18324943434691,0.521,0.015,0,"0","ITGBL1"
"ABI3BP",0,1.18063314313023,0.585,0.058,0,"0","ABI3BP"
"FXYD1",0,1.17786387948237,0.749,0.154,0,"0","FXYD1"
"GAS1",0,1.17646427266306,0.552,0.052,0,"0","GAS1"
"TNXB",0,1.17537638763103,0.539,0.15,0,"0","TNXB"
"S100A6",0,1.16221119473315,1,0.909,0,"0","S100A6"
"EMILIN1",0,1.16172984291566,0.567,0.034,0,"0","EMILIN1"
"TWIST2",0,1.15092005237686,0.577,0.021,0,"0","TWIST2"
"PRELP",0,1.1492383292803,0.533,0.026,0,"0","PRELP"
"ANGPTL2",0,1.14580680816636,0.595,0.164,0,"0","ANGPTL2"
"ABCA8",0,1.13584675884134,0.495,0.024,0,"0","ABCA8"
"LAPTM4A",0,1.133715841954,0.993,0.908,0,"0","LAPTM4A"
"F10",0,1.126045093576,0.506,0.053,0,"0","F10"
"NNMT",0,1.12468291427146,0.944,0.637,0,"0","NNMT"
"IGF1",0,1.12279257411426,0.396,0.033,0,"0","IGF1"
"DIO2",0,1.12190397756973,0.404,0.018,0,"0","DIO2"
"S100A13",0,1.11662287682473,0.951,0.605,0,"0","S100A13"
"FGL2",0,1.10802050812016,0.63,0.165,0,"0","FGL2"
"CD81",0,1.10515378312676,0.995,0.932,0,"0","CD81"
"FGFR1",0,1.10177403691252,0.762,0.235,0,"0","FGFR1"
"PDGFRA",0,1.08499985049567,0.591,0.029,0,"0","PDGFRA"
"SRPX",0,1.07961991053938,0.573,0.078,0,"0","SRPX"
"CDH11",0,1.07478796181057,0.571,0.037,0,"0","CDH11"
"VKORC1",0,1.07116307900521,0.79,0.393,0,"0","VKORC1"
"APCDD1",0,1.06593821516319,0.331,0.121,0,"0","APCDD1"
"LGALS3BP",0,1.06139561806505,0.614,0.145,0,"0","LGALS3BP"
"SEPT11",0,1.05807775561639,0.684,0.254,0,"0","SEPT11"
"CRYAB",0,1.05743550871885,0.585,0.2,0,"0","CRYAB"
"OMD",0,1.05174747447786,0.511,0.007,0,"0","OMD"
"PDLIM2",0,1.04787258614651,0.803,0.344,0,"0","PDLIM2"
"OSR2",0,1.04717033665653,0.541,0.033,0,"0","OSR2"
"PRRX2",0,1.04280532968964,0.701,0.155,0,"0","PRRX2"
"FMOD",0,1.0425405592051,0.599,0.051,0,"0","FMOD"
"MMP14",0,1.03808695912959,0.569,0.125,0,"0","MMP14"
"BASP1",0,1.03620971540276,0.614,0.184,0,"0","BASP1"
"LTBP4",0,1.02903273576913,0.609,0.18,0,"0","LTBP4"
"FAP",0,1.02803197467344,0.472,0.036,0,"0","FAP"
