"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","70/608","159/18614",1.97356119979918e-61,9.62111084902102e-58,7.36657685735569e-58,"6201/6122/2197/6217/26986/6451/1983/6141/1973/6202/8531/6193/6187/4736/6189/6125/6223/6204/6173/6159/6133/6132/6233/6144/6194/6157/6143/4904/6232/6191/6142/6147/6188/6128/3646/6129/6161/6130/6168/6203/3192/6208/6138/6134/9045/1974/6207/6171/6222/6169/27335/8667/51386/8666/6176/6124/6210/6165/80315/6230/6234/6146/8669/221662/10399/11224/6155/6229/7555/6154",70
"GO:0060485","GO:0060485","mesenchyme development","37/608","320/18614",2.58702825340795e-11,6.30588136768188e-08,4.82821167714979e-08,"59/3569/4208/6909/182/2316/6201/80139/5159/1910/72/4609/5747/2487/6093/2296/2303/5728/650/9475/3182/7041/1909/10155/1942/1655/3911/677/23462/54910/3091/5515/3082/221662/23493/9221/10253",37
"GO:0006413","GO:0006413","translational initiation","22/608","123/18614",7.33283814047832e-11,1.19158619782773e-07,9.12359440215303e-08,"23645/8440/6451/1983/4869/1973/6193/468/6189/10289/1654/6188/3646/1982/1974/10209/27335/8667/51386/8666/1964/8669",22
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","34/608","301/18614",3.15449543384726e-10,3.84454131000135e-07,2.94364231800589e-07,"54205/857/54541/1026/6201/1396/23645/4609/8440/3428/8531/468/28996/5478/1649/9709/58515/1654/6421/1655/6188/7417/960/1984/4780/3190/5770/1032/1969/3091/3301/10399/4170/6154",34
"GO:0060537","GO:0060537","muscle tissue development","41/608","426/18614",6.68004957196852e-10,6.51304833266931e-07,4.98683279625271e-07,"4629/7026/4638/7168/84525/857/4208/1465/467/6909/3679/858/8470/10052/5159/5350/8531/2296/2303/4637/650/5573/3164/7832/56999/23764/3688/1909/2274/1466/7528/1655/56603/3192/23135/23462/3475/3276/221662/23493/7422",41
"GO:0042254","GO:0042254","ribosome biogenesis","33/608","298/18614",9.64882092350302e-10,7.83966700034621e-07,6.00258227977925e-07,"6201/6217/9188/4869/6202/6193/6125/6223/9775/5901/6194/1654/6232/10528/6147/6128/6129/51068/6203/6208/29997/6134/9045/6169/5036/6165/6230/6234/11224/9221/6155/6229/6154",33
"GO:0048762","GO:0048762","mesenchymal cell differentiation","30/608","255/18614",1.33793353694661e-09,9.31775141802106e-07,7.13430424362811e-07,"3569/4208/182/2316/6201/80139/1910/5747/2487/6093/2296/2303/5728/650/9475/3182/7041/1909/10155/1942/1655/3911/23462/54910/3091/5515/3082/23493/9221/10253",30
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","43/608","475/18614",1.68625587717851e-09,1.02756217515565e-06,7.86771492167762e-07,"6201/6217/9188/1983/4869/6202/6193/6125/6223/9775/5901/6194/1654/6232/10528/6147/6628/6128/3646/6129/51068/6203/6208/29997/6134/9045/6169/27335/8667/51386/5036/8666/6165/6230/6234/11171/8669/11224/9221/6155/6229/6430/6154",43
"GO:0006936","GO:0006936","muscle contraction","35/608","349/18614",4.21267900519298e-09,2.28186779447953e-06,1.74715318741688e-06,"7169/10398/4629/4638/7168/800/23704/857/6752/150/10060/3764/6909/25802/805/2316/1264/10052/4660/1910/8654/5350/6093/4637/7171/9475/3164/2982/476/1909/7402/23336/3270/5592/6330",35
"GO:0034250","GO:0034250","positive regulation of amide metabolic process","23/608","169/18614",7.14644045077534e-09,3.48388971975298e-06,2.66750293036309e-06,"3569/23645/8440/26986/6451/4869/8531/6125/9475/9775/1654/4904/6191/1942/3646/1984/10140/3192/4780/8301/1938/7555/6154",23
"GO:0001837","GO:0001837","epithelial to mesenchymal transition","23/608","172/18614",1.00574700915355e-08,4.45728788147597e-06,3.41280276981675e-06,"3569/182/2316/80139/5747/6093/2296/5728/650/9475/3182/7041/1909/10155/1942/1655/23462/3091/5515/3082/23493/9221/10253",23
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","23/608","173/18614",1.12505727721148e-08,4.50724704265516e-06,3.45105490164755e-06,"857/6201/4609/8440/8531/5478/1649/9709/1654/6421/6188/7417/960/1984/4780/3190/5770/1032/3091/3301/10399/4170/6154",23
"GO:0003012","GO:0003012","muscle system process","40/608","452/18614",1.20193254470804e-08,4.50724704265516e-06,3.45105490164755e-06,"7169/10398/4629/4638/7168/800/23704/857/6752/150/10060/3764/6909/25802/805/8013/2316/8470/1264/10052/4660/1910/8654/5350/6093/4637/7171/9475/3164/2982/476/1909/7528/114907/7402/23336/23493/3270/5592/6330",40
"GO:0070482","GO:0070482","response to oxygen levels","33/608","333/18614",1.57465210419501e-08,5.48316357710764e-06,4.19828297855302e-06,"5154/2034/285/857/54541/2977/9124/51129/81/5228/5159/378938/4609/8140/468/650/9475/28996/2982/1909/2983/677/29997/4780/126374/665/3091/1027/80315/5328/4720/3727/7422",33
"GO:0042692","GO:0042692","muscle cell differentiation","37/608","410/18614",2.57814822135864e-08,8.37898171941557e-06,6.41551831083349e-06,"10398/4629/7168/552/84525/4208/1465/4627/6909/25802/858/81/8470/51177/5159/1910/650/5573/3688/1909/2274/1466/4904/7528/30846/56603/3192/23135/10938/6604/87/23462/3475/54910/221662/23493/7422",37
"GO:0031589","GO:0031589","cell-substrate adhesion","34/608","359/18614",2.94833911933731e-08,8.98322075423085e-06,6.87816481392769e-06,"285/4059/2824/3679/182/25975/2316/81/6366/3672/133584/5747/6093/482/5728/284/7094/9475/7414/56999/10395/3688/8874/604/1942/948/960/3911/7402/87/5328/395/7422/3987",34
"GO:0032835","GO:0032835","glomerulus development","14/608","69/18614",3.99819036610757e-08,1.14653988439849e-05,8.77868918775073e-06,"59/4854/285/4208/182/5159/1910/2028/2296/2303/284/1909/2828/171023",14
"GO:0003018","GO:0003018","vascular process in circulatory system","28/608","265/18614",5.02688185459707e-08,1.36144716895337e-05,1.04241655300592e-05,"552/857/150/10060/3764/6542/2171/11156/3672/1910/8140/6093/482/2296/2303/284/9475/54407/28232/2982/1909/948/7082/2828/6515/1889/7422/5592",28
"GO:0042255","GO:0042255","ribosome assembly","13/608","60/18614",5.34532679985557e-08,1.37149832364715e-05,1.05011240068077e-05,"4869/6193/6125/6223/1654/6232/6147/6128/6208/29997/6134/6169/6234",13
"GO:0072006","GO:0072006","nephron development","20/608","152/18614",1.20751024238615e-07,2.94330621581625e-05,2.25359543131648e-05,"59/4854/285/4208/182/5159/1910/4609/2028/2296/2303/650/284/1909/3911/388585/2828/3976/171023/7422",20
"GO:0042326","GO:0042326","negative regulation of phosphorylation","34/608","383/18614",1.41577736960602e-07,3.15698930406329e-05,2.41720573758887e-05,"7026/857/54541/56937/2167/1026/805/4616/7128/10614/9021/8440/90007/4869/6093/5728/650/284/5573/5577/8655/6774/5478/8651/55450/3192/5770/1032/5515/1027/3301/3082/10399/10253",34
"GO:0042060","GO:0042060","wound healing","37/608","439/18614",1.48945136396832e-07,3.15698930406329e-05,2.41720573758887e-05,"59/10398/4162/5154/3569/4638/7168/857/150/1465/4627/114897/1026/2316/7035/7128/5159/5747/2303/5728/966/7094/7414/5478/3688/948/960/10627/4780/7056/2828/58189/3091/5328/7422/5592/8761",37
"GO:0045936","GO:0045936","negative regulation of phosphate metabolic process","37/608","439/18614",1.48945136396832e-07,3.15698930406329e-05,2.41720573758887e-05,"5154/7026/857/54541/56937/2167/1026/805/4616/7128/10614/23645/9021/8440/90007/4869/6093/5728/650/284/9475/5573/5577/8655/6774/5478/8651/55450/3192/5770/1032/5515/1027/3301/3082/10399/10253",37
