,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042060,GO:0042060,wound healing,37/608,439/18614,1.49E-07,3.16E-05,2.42E-05,59/10398/4162/5154/3569/4638/7168/857/150/1465/4627/114897/1026/2316/7035/7128/5159/5747/2303/5728/966/7094/7414/5478/3688/948/960/10627/4780/7056/2828/58189/3091/5328/7422/5592/8761,37
GO:0043410,GO:0043410,positive regulation of MAPK cascade,35/608,495/18614,1.68E-05,0.00071843,0.000550079,59/6347/5154/3569/6355/4208/150/114897/4616/858/6366/3672/5159/8654/6093/650/284/9475/10174/28996/5478/1942/6188/948/960/5770/3976/3276/54910/10344/3082/7422/3146/920/10253,35
GO:0097193,GO:0097193,intrinsic apoptotic signaling pathway,34/608,301/18614,3.15E-10,3.84E-07,2.94E-07,54205/857/54541/1026/6201/1396/23645/4609/8440/3428/8531/468/28996/5478/1649/9709/58515/1654/6421/1655/6188/7417/960/1984/4780/3190/5770/1032/1969/3091/3301/10399/4170/6154,34
GO:0050673,GO:0050673,epithelial cell proliferation,34/608,488/18614,2.99E-05,0.001080023,0.000826939,6347/3569/7026/857/4208/441478/595/687/6909/182/8013/858/5228/7128/80139/1910/4609/283131/567/650/3164/6774/1749/3911/677/388585/1969/3091/1960/1027/10344/3082/7422/3146,34
GO:0070482,GO:0070482,response to oxygen levels,33/608,333/18614,1.57E-08,5.48E-06,4.20E-06,5154/2034/285/857/54541/2977/9124/51129/81/5228/5159/378938/4609/8140/468/650/9475/28996/2982/1909/2983/677/29997/4780/126374/665/3091/1027/80315/5328/4720/3727/7422,33
GO:2001233,GO:2001233,regulation of apoptotic signaling pathway,30/608,381/18614,8.80E-06,0.000475526,0.000364095,857/292/467/7078/6201/7128/4609/8440/8531/5728/5478/1649/9709/1654/6421/6188/7417/960/293/1984/4780/3190/5770/1032/3091/3301/3082/10399/4170/6154,30
GO:0010631,GO:0010631,epithelial cell migration,29/608,371/18614,1.42E-05,0.000667132,0.000510801,7026/285/4208/388/4627/11156/9839/5747/7114/6093/506/2113/2303/5728/284/9475/3164/25959/56999/5872/3688/1942/4780/1969/3091/1960/7422/3146/10982,29
GO:0070371,GO:0070371,ERK1 and ERK2 cascade,25/608,341/18614,0.000152042,0.003463569,0.002651944,59/6347/5154/6355/467/7078/6366/5159/4609/5728/650/284/57447/7430/948/960/677/5770/1847/1969/3976/10344/3146/920/10253,25
GO:0071559,GO:0071559,response to transforming growth factor beta,24/608,280/18614,1.75E-05,0.000741787,0.000567962,59/5154/1284/857/4208/56937/858/80139/3621/9839/5747/463/6093/650/9475/6774/28996/7041/677/23089/51742/11171/3987/10253,24
GO:0071560,GO:0071560,cellular response to transforming growth factor beta stimulus,21/608,274/18614,0.000277244,0.005539195,0.004241184,59/5154/1284/857/4208/56937/858/80139/3621/9839/5747/650/6774/28996/7041/677/23089/51742/11171/3987/10253,21
GO:0007266,GO:0007266,Rho protein signal transduction,17/608,130/18614,1.16E-06,0.000125739,9.63E-05,2059/150/397/388/9411/5159/6093/3925/9475/1072/25959/10395/3688/604/2828/10276/395,17
GO:0007179,GO:0007179,transforming growth factor beta receptor signaling pathway,15/608,218/18614,0.005466913,0.044197677,0.033840748,857/56937/858/80139/3621/9839/5747/650/6774/28996/7041/23089/51742/11171/10253,15
