"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"APOD"	0	2.96374683840845	0.915	0.478	0	"0"	"APOD"
"PTGDS"	0	2.1857997336021	0.848	0.432	0	"0"	"PTGDS"
"APOE"	0	2.10579246234378	0.899	0.675	0	"0"	"APOE"
"CXCL12"	0	1.69953987030726	0.899	0.673	0	"0"	"CXCL12"
"C3"	0	1.58650870964203	0.681	0.242	0	"0"	"C3"
"CCL19"	0	1.56083432865151	0.331	0.098	0	"0"	"CCL19"
"GSN"	0	1.52182733875213	0.983	0.942	0	"0"	"GSN"
"CXCL14"	0	1.44580828617261	0.962	0.684	0	"0"	"CXCL14"
"CFH"	0	1.42331095383298	0.944	0.727	0	"0"	"CFH"
"CXCL1"	0	1.4178190464473	0.36	0.096	0	"0"	"CXCL1"
"EFEMP1"	0	1.17076346189172	0.671	0.332	0	"0"	"EFEMP1"
"COL15A1"	0	1.08014960332611	0.604	0.133	0	"0"	"COL15A1"
"ABCA8"	0	1.0727083490101	0.624	0.179	0	"0"	"ABCA8"
"STMN2"	0	1.05376625017043	0.347	0.042	0	"0"	"STMN2"
"CYP1B1"	0	1.0161383532545	0.514	0.179	0	"0"	"CYP1B1"
"ITM2A"	0	1.01227577018168	0.568	0.208	0	"0"	"ITM2A"
"LTBP4"	0	1.00033326311086	0.714	0.317	0	"0"	"LTBP4"
"CFD"	0	0.990876567312407	0.971	0.713	0	"0"	"CFD"
"SELENOP"	0	0.978371636070151	0.954	0.655	0	"0"	"SELENOP"
"ZFP36L2"	0	0.969453092624903	0.982	0.84	0	"0"	"ZFP36L2"
"NFKBIA"	0	0.937756977484878	0.99	0.951	0	"0"	"NFKBIA"
"C1S"	0	0.904312394883658	0.963	0.816	0	"0"	"C1S"
"DIO2"	0	0.893838943397737	0.469	0.156	0	"0"	"DIO2"
"PDGFRA"	0	0.85696172851885	0.663	0.219	0	"0"	"PDGFRA"
"GPC3"	0	0.826851453732925	0.355	0.076	0	"0"	"GPC3"
"CST3"	0	0.815179939067174	0.997	0.982	0	"0"	"CST3"
"SPRY1"	0	0.805770497093951	0.613	0.276	0	"0"	"SPRY1"
"ABI3BP"	0	0.803328716361566	0.597	0.301	0	"0"	"ABI3BP"
"RND3"	0	0.802477168401121	0.837	0.599	0	"0"	"RND3"
"TXNIP"	0	0.799106774107154	0.823	0.626	0	"0"	"TXNIP"
"NEGR1"	0	0.791895729876745	0.546	0.128	0	"0"	"NEGR1"
"SNHG8"	0	0.75417690144335	0.912	0.722	0	"0"	"SNHG8"
"SOD3"	0	0.752817871644128	0.936	0.735	0	"0"	"SOD3"
"GGT5"	0	0.745998079534133	0.649	0.422	0	"0"	"GGT5"
"APOC1"	0	0.72051632911124	0.281	0.063	0	"0"	"APOC1"
"PTGS2"	0	0.71720552595446	0.379	0.119	0	"0"	"PTGS2"
"VCAN"	0	0.709143505963485	0.852	0.535	0	"0"	"VCAN"
"TNFSF13B"	0	0.692741868070143	0.355	0.038	0	"0"	"TNFSF13B"
"SNAI1"	0	0.674434508717046	0.507	0.25	0	"0"	"SNAI1"
"HAS2"	0	0.671048984647818	0.448	0.175	0	"0"	"HAS2"
"CYGB"	0	0.667014525209289	0.516	0.234	0	"0"	"CYGB"
"SERPING1"	0	0.653863086363454	0.972	0.838	0	"0"	"SERPING1"
"KLF4"	0	0.646970628097455	0.908	0.677	0	"0"	"KLF4"
"NFIA"	0	0.642133695493439	0.701	0.446	0	"0"	"NFIA"
"MEG3"	0	0.628270127868448	0.88	0.617	0	"0"	"MEG3"
"C1R"	0	0.623546477898125	0.967	0.858	0	"0"	"C1R"
"SLIT2"	0	0.611892289615833	0.401	0.105	0	"0"	"SLIT2"
"SNED1"	0	0.597732411889838	0.468	0.165	0	"0"	"SNED1"
"KCTD12"	0	0.593932236638767	0.591	0.311	0	"0"	"KCTD12"
"SERPINE2"	0	0.589424349458578	0.472	0.187	0	"0"	"SERPINE2"
"FGL2"	0	0.584593229300812	0.701	0.299	0	"0"	"FGL2"
"PRNP"	0	0.575979687439556	0.801	0.555	0	"0"	"PRNP"
"VIM"	0	0.574942774281057	1	1	0	"0"	"VIM"
"TMEM176A"	0	0.574556341304888	0.719	0.477	0	"0"	"TMEM176A"
"PLEKHH2"	0	0.569654904533228	0.44	0.183	0	"0"	"PLEKHH2"
"IL11RA"	0	0.56329088817299	0.521	0.273	0	"0"	"IL11RA"
"TMEM176B"	0	0.552376317617224	0.83	0.602	0	"0"	"TMEM176B"
"JUNB"	0	0.543456455885043	0.998	0.98	0	"0"	"JUNB"
"SPTBN1"	0	0.523949509166167	0.761	0.54	0	"0"	"SPTBN1"
"TNFSF10"	0	0.523341637349726	0.436	0.155	0	"0"	"TNFSF10"
"S100A10"	0	0.521966365547524	0.998	0.902	0	"0"	"S100A10"
"ENPP2"	0	0.520442812695594	0.395	0.133	0	"0"	"ENPP2"
"S100A13"	0	0.517228942264886	0.941	0.728	0	"0"	"S100A13"
"GSTM3"	0	0.509761029470267	0.703	0.455	0	"0"	"GSTM3"
"ADD3"	0	0.499884417529321	0.618	0.355	0	"0"	"ADD3"
"SCARA5"	0	0.496236638757163	0.365	0.127	0	"0"	"SCARA5"
"PLSCR4"	0	0.494829570833122	0.495	0.221	0	"0"	"PLSCR4"
"COLEC12"	0	0.488569695584351	0.472	0.181	0	"0"	"COLEC12"
"BICC1"	0	0.484867276617874	0.541	0.29	0	"0"	"BICC1"
"ANXA1"	0	0.477651582598503	0.979	0.882	0	"0"	"ANXA1"
"LGALS3"	0	0.474113971595715	0.996	0.977	0	"0"	"LGALS3"
"ARL6IP5"	0	0.472697651709933	0.901	0.686	0	"0"	"ARL6IP5"
