"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","79/782","314/18614",1.84396770178469e-39,5.7081371804693e-36,4.55160361643116e-36,"6423/1277/2192/1278/1281/4060/151887/4313/1513/10631/1805/1311/4239/1471/4015/2006/4035/1289/1290/8510/7148/165/10549/25890/5156/1306/1303/11117/10516/2191/28984/60681/30008/302/4323/2621/2331/1307/1301/90993/3908/1545/10630/9509/83872/7373/871/4016/6624/8434/351/10266/26585/84168/5806/55959/3912/1295/2683/5212/4320/23768/1991/8785/1296/10609/1520/5033/64094/649/54507/1803/285590/5768/1842/81621/3913/3037/144165",79
"GO:0043062","GO:0043062","extracellular structure organization","79/782","315/18614",2.3680303590414e-39,5.7081371804693e-36,4.55160361643116e-36,"6423/1277/2192/1278/1281/4060/151887/4313/1513/10631/1805/1311/4239/1471/4015/2006/4035/1289/1290/8510/7148/165/10549/25890/5156/1306/1303/11117/10516/2191/28984/60681/30008/302/4323/2621/2331/1307/1301/90993/3908/1545/10630/9509/83872/7373/871/4016/6624/8434/351/10266/26585/84168/5806/55959/3912/1295/2683/5212/4320/23768/1991/8785/1296/10609/1520/5033/64094/649/54507/1803/285590/5768/1842/81621/3913/3037/144165",79
"GO:0045229","GO:0045229","external encapsulating structure organization","79/782","317/18614",3.89293155090602e-39,6.25594100230598e-36,4.98841614873993e-36,"6423/1277/2192/1278/1281/4060/151887/4313/1513/10631/1805/1311/4239/1471/4015/2006/4035/1289/1290/8510/7148/165/10549/25890/5156/1306/1303/11117/10516/2191/28984/60681/30008/302/4323/2621/2331/1307/1301/90993/3908/1545/10630/9509/83872/7373/871/4016/6624/8434/351/10266/26585/84168/5806/55959/3912/1295/2683/5212/4320/23768/1991/8785/1296/10609/1520/5033/64094/649/54507/1803/285590/5768/1842/81621/3913/3037/144165",79
"GO:0030199","GO:0030199","collagen fibril organization","29/782","64/18614",2.47819942763808e-23,2.9868498601608e-20,2.38168008150902e-20,"6423/1277/1278/1281/4060/1805/1311/4015/1289/1290/7148/165/1303/11117/60681/30008/302/2331/1301/1545/9509/7373/871/4016/26585/4320/10609/5033/649",29
"GO:0032963","GO:0032963","collagen metabolic process","30/782","108/18614",5.71951348537443e-17,5.51475490259803e-14,4.3974027891763e-14,"1277/1278/4313/1513/4239/1471/1289/5118/8510/9902/57333/7148/11117/2191/28984/4323/1508/90993/9509/871/7431/10536/2149/64175/4320/10609/1520/1514/55323/54463",30
"GO:0001503","GO:0001503","ossification","57/782","429/18614",1.09544077418073e-14,8.80186662054219e-12,7.01850825843515e-12,"6423/1277/1278/115908/4313/1513/1311/1462/54829/5764/4015/7130/6422/1291/1290/9902/4256/3479/1893/4192/6320/117581/1009/4323/116039/5743/2719/3486/1301/90993/6238/51374/7123/6615/26585/4054/9249/1956/91851/338773/285313/7059/5087/25937/83999/10984/55603/23184/22801/649/5745/8321/4037/81621/55366/56172/144165",57
"GO:0085029","GO:0085029","extracellular matrix assembly","17/782","42/18614",3.16591432928627e-13,2.18041042592702e-10,1.73863445572233e-10,"1278/1281/4239/4015/2006/7148/11117/10516/28984/60681/30008/2621/10266/84168/5768/3037/144165",17
"GO:0052547","GO:0052547","regulation of peptidase activity","53/782","425/18614",1.24991279582776e-12,6.69788435887082e-10,5.34081675096808e-10,"6423/1513/221476/2934/1471/5176/4035/7076/1293/9314/57333/6590/1893/10550/7077/5270/1512/2621/1508/2896/5743/2719/710/8743/25824/2537/10972/1476/871/1509/8434/351/64065/2149/84168/358/444/80760/27018/5329/2534/51107/135228/23787/1520/1611/334/274/1514/51065/29108/10134/5104",53
"GO:0002685","GO:0002685","regulation of leukocyte migration","37/782","227/18614",1.25038289213519e-12,6.69788435887082e-10,5.34081675096808e-10,"347/6387/5764/7130/4267/301/1893/4192/4681/5919/1843/11117/4323/7070/7060/2621/7423/3162/3958/961/5295/9353/623/928/975/351/972/7499/26585/6484/80310/1991/58494/90865/1803/3554/29108",37
"GO:0016485","GO:0016485","protein processing","38/782","250/18614",5.62412824733339e-12,2.71139222803943e-09,2.1620333009749e-09,"1311/6281/2934/715/165/2619/5270/302/5034/1512/4323/56265/5621/10699/10418/7123/26022/9509/9935/64065/444/29100/5329/2734/51107/25825/81502/1520/147372/649/1803/590/5648/1514/4311/29108/81555/837",38
