"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"CXCL14"	0	4.6539036896398	0.924	0.481	0
"PTGDS"	0	4.44942798639913	0.702	0.338	0
"DCN"	0	4.29954199648026	0.995	0.789	0
"CFD"	0	4.27114359709515	0.888	0.64	0
"APOD"	0	3.92391703944357	0.795	0.301	0
"SFRP2"	0	3.80424484572169	0.868	0.392	0
"COL1A1"	0	3.66852881962221	0.991	0.938	0
"FBLN1"	0	3.40861754939543	0.949	0.397	0
"COL1A2"	0	3.35724011432482	0.995	0.928	0
"COL3A1"	0	3.17402986786756	0.963	0.879	0
"LUM"	0	3.03614543409231	0.95	0.55	0
"CCDC80"	0	3.01823016253611	0.986	0.747	0
"CTHRC1"	0	2.91283166195162	0.695	0.288	0
"MMP2"	0	2.77540070790869	0.882	0.299	0
"CTSK"	0	2.64608956823168	0.962	0.488	0
"WISP2"	0	2.60685243729424	0.642	0.23	0
"PLA2G2A"	8.72229848605816e-299	2.58654782029626	0.208	0.008	1.83159545908735e-294
"POSTN"	4.8038456965533e-82	2.35686345736817	0.44	0.357	1.00875955781923e-77
"C3"	0	2.34341846915713	0.557	0.073	0
"DPT"	0	2.29106197206176	0.776	0.161	0
"COMP"	0	2.22658065616093	0.299	0.039	0
"S100A10"	0	2.1079598210448	0.997	0.801	0
"PI16"	0	2.04715884569206	0.409	0.02	0
"HTRA1"	0	2.04704214821082	0.89	0.501	0
"MFAP4"	0	2.03831887738483	0.878	0.34	0
"MEG3"	0	2.03241349435077	0.9	0.29	0
"MFAP5"	0	2.02598091116026	0.567	0.059	0
"GSN"	0	2.0242538316248	0.969	0.932	0
"CST3"	0	2.01974239865032	0.998	0.964	0
"FBLN2"	0	2.01260064957662	0.876	0.226	0
"VCAN"	0	2.00515770299562	0.843	0.22	0
"ASPN"	8.36858635495838e-181	1.86711100908035	0.41	0.235	1.75731944867771e-176
"EFEMP1"	0	1.7773405933825	0.62	0.095	0
"PPIC"	0	1.76838891629919	0.833	0.375	0
"THBS2"	0	1.74079854033531	0.726	0.2	0
"CXCL12"	0	1.72573544751926	0.834	0.59	0
"PTN"	0	1.72387784214288	0.727	0.37	0
"SERPINF1"	0	1.71353507503403	0.971	0.861	0
"LOX"	0	1.70705350670328	0.689	0.09	0
"ELN"	0	1.69584788292702	0.53	0.094	0
"PDGFRL"	0	1.69423785657332	0.694	0.143	0
"C1R"	0	1.67249405981349	0.959	0.76	0
"LRP1"	0	1.65963158783341	0.903	0.325	0
"S100A13"	0	1.6359645766611	0.953	0.474	0
"CRABP2"	0	1.62507240022777	0.786	0.175	0
"CFH"	0	1.5982420374759	0.904	0.593	0
"SPON2"	0	1.57266775901617	0.611	0.16	0
"COL5A1"	0	1.56090232749347	0.702	0.322	0
"FSTL1"	0	1.55694030926493	0.935	0.603	0
"PCOLCE"	0	1.55443762278811	0.974	0.841	0
"FGL2"	0	1.55310736308167	0.631	0.042	0
"OGN"	0	1.5323376474512	0.529	0.029	0
"C1S"	0	1.53096367631346	0.959	0.67	0
"CXCL1"	0	1.52214528850671	0.276	0.017	0
"TIMP1"	0	1.50977488830191	0.993	0.917	0
"IGFBP6"	0	1.50536942643554	0.639	0.296	0
"TNFAIP6"	0	1.50088283671121	0.565	0.182	0
"SFRP4"	7.81451633379475e-206	1.48603129283591	0.275	0.091	1.64097028493356e-201
"SPARC"	6.40564931011332e-163	1.48045452189029	0.976	0.976	1.3451222986307e-158
